well,Number,BioRep,OD,Species,Strain,Batch,Step
C6,5,A,0.137,Gardnerella sp. 2,JCP7275,1B1,Dilution Start
D6,5,A,0.138,Gardnerella sp. 2,JCP7275,1B1,Dilution Start
E6,5,B,0.132,Gardnerella sp. 2,JCP7275,1B1,Dilution Start
F6,5,B,0.143,Gardnerella sp. 2,JCP7275,1B1,Dilution Start
G6,5,B,0.133,Gardnerella sp. 2,JCP7275,1B1,Dilution Start
H6,5,B,0.139,Gardnerella sp. 2,JCP7275,1B1,Dilution Start
A7,6,A,0.128,Gardnerella sp. 2,JCP8108,1B1,Dilution Start
B7,6,A,0.122,Gardnerella sp. 2,JCP8108,1B1,Dilution Start
C7,6,A,0.121,Gardnerella sp. 2,JCP8108,1B1,Dilution Start
D7,6,A,0.129,Gardnerella sp. 2,JCP8108,1B1,Dilution Start
E7,6,B,0.128,Gardnerella sp. 2,JCP8108,1B1,Dilution Start
F7,6,B,0.135,Gardnerella sp. 2,JCP8108,1B1,Dilution Start
G7,6,B,0.134,Gardnerella sp. 2,JCP8108,1B1,Dilution Start
H7,6,B,0.139,Gardnerella sp. 2,JCP8108,1B1,Dilution Start
A8,7,A,0.159,Gardnerella sp. 7,C0179B4,1B1,Dilution Start
B8,7,A,0.164,Gardnerella sp. 7,C0179B4,1B1,Dilution Start
C8,7,A,0.159,Gardnerella sp. 7,C0179B4,1B1,Dilution Start
D8,7,A,0.16,Gardnerella sp. 7,C0179B4,1B1,Dilution Start
E8,7,B,0.174,Gardnerella sp. 7,C0179B4,1B1,Dilution Start
F8,7,B,0.171,Gardnerella sp. 7,C0179B4,1B1,Dilution Start
G8,7,B,0.178,Gardnerella sp. 7,C0179B4,1B1,Dilution Start
H8,7,B,0.186,Gardnerella sp. 7,C0179B4,1B1,Dilution Start
A9,8,A,0.096,Gardnerella sp. 10,C0100B2,1B1,Dilution Start
B9,8,A,0.092,Gardnerella sp. 10,C0100B2,1B1,Dilution Start
C9,8,A,0.098,Gardnerella sp. 10,C0100B2,1B1,Dilution Start
D9,8,A,0.093,Gardnerella sp. 10,C0100B2,1B1,Dilution Start
E9,8,B,0.094,Gardnerella sp. 10,C0100B2,1B1,Dilution Start
F9,8,B,0.094,Gardnerella sp. 10,C0100B2,1B1,Dilution Start
G9,8,B,0.095,Gardnerella sp. 10,C0100B2,1B1,Dilution Start
H9,8,B,0.097,Gardnerella sp. 10,C0100B2,1B1,Dilution Start
A12,Blank,NA,0.09,NA,NA,1B1,Dilution Start
B12,Blank,NA,0.088,NA,NA,1B1,Dilution Start
C12,Blank,NA,0.089,NA,NA,1B1,Dilution Start
D12,Blank,NA,0.09,NA,NA,1B1,Dilution Start
A2,1,A,0.14,Gardnerella sp. 3,C0040C2,1B2,Dilution Start
B2,1,A,0.144,Gardnerella sp. 3,C0040C2,1B2,Dilution Start
C2,1,A,0.133,Gardnerella sp. 3,C0040C2,1B2,Dilution Start
D2,1,A,0.139,Gardnerella sp. 3,C0040C2,1B2,Dilution Start
E2,1,B,0.123,Gardnerella sp. 3,C0040C2,1B2,Dilution Start
F2,1,B,0.127,Gardnerella sp. 3,C0040C2,1B2,Dilution Start
G2,1,B,0.135,Gardnerella sp. 3,C0040C2,1B2,Dilution Start
H2,1,B,0.153,Gardnerella sp. 3,C0040C2,1B2,Dilution Start
A3,2,A,0.136,Gardnerella sp. 8,C0056B5,1B2,Dilution Start
B3,2,A,0.138,Gardnerella sp. 8,C0056B5,1B2,Dilution Start
C3,2,A,0.14,Gardnerella sp. 8,C0056B5,1B2,Dilution Start
D3,2,A,0.148,Gardnerella sp. 8,C0056B5,1B2,Dilution Start
E3,2,B,0.138,Gardnerella sp. 8,C0056B5,1B2,Dilution Start
F3,2,B,0.134,Gardnerella sp. 8,C0056B5,1B2,Dilution Start
G3,2,B,0.139,Gardnerella sp. 8,C0056B5,1B2,Dilution Start
H3,2,B,0.162,Gardnerella sp. 8,C0056B5,1B2,Dilution Start
A4,3,A,0.106,Gardnerella sp. 8,Gv101,1B2,Dilution Start
B4,3,A,0.113,Gardnerella sp. 8,Gv101,1B2,Dilution Start
C4,3,A,0.118,Gardnerella sp. 8,Gv101,1B2,Dilution Start
D4,3,A,0.109,Gardnerella sp. 8,Gv101,1B2,Dilution Start
E4,3,B,0.108,Gardnerella sp. 8,Gv101,1B2,Dilution Start
F4,3,B,0.112,Gardnerella sp. 8,Gv101,1B2,Dilution Start
G4,3,B,0.113,Gardnerella sp. 8,Gv101,1B2,Dilution Start
H4,3,B,0.125,Gardnerella sp. 8,Gv101,1B2,Dilution Start
A5,4,A,0.16,Gardnerella swidsinskii,Gv5-1,1B2,Dilution Start
B5,4,A,0.15,Gardnerella swidsinskii,Gv5-1,1B2,Dilution Start
C5,4,A,0.161,Gardnerella swidsinskii,Gv5-1,1B2,Dilution Start
D5,4,A,0.161,Gardnerella swidsinskii,Gv5-1,1B2,Dilution Start
E5,4,B,0.154,Gardnerella swidsinskii,Gv5-1,1B2,Dilution Start
F5,4,B,0.147,Gardnerella swidsinskii,Gv5-1,1B2,Dilution Start
G5,4,B,0.144,Gardnerella swidsinskii,Gv5-1,1B2,Dilution Start
H5,4,B,0.154,Gardnerella swidsinskii,Gv5-1,1B2,Dilution Start
A6,5,A,0.119,Gardnerella sp. 2,JCP7275,1B2,Dilution Start
B6,5,A,0.108,Gardnerella sp. 2,JCP7275,1B2,Dilution Start
C6,5,A,0.11,Gardnerella sp. 2,JCP7275,1B2,Dilution Start
D6,5,A,0.114,Gardnerella sp. 2,JCP7275,1B2,Dilution Start
E6,5,B,0.115,Gardnerella sp. 2,JCP7275,1B2,Dilution Start
F6,5,B,0.114,Gardnerella sp. 2,JCP7275,1B2,Dilution Start
G6,5,B,0.122,Gardnerella sp. 2,JCP7275,1B2,Dilution Start
H6,5,B,0.129,Gardnerella sp. 2,JCP7275,1B2,Dilution Start
A7,6,A,0.108,Gardnerella sp. 2,JCP8108,1B2,Dilution Start
B7,6,A,0.118,Gardnerella sp. 2,JCP8108,1B2,Dilution Start
C7,6,A,0.119,Gardnerella sp. 2,JCP8108,1B2,Dilution Start
D7,6,A,0.126,Gardnerella sp. 2,JCP8108,1B2,Dilution Start
E7,6,B,0.139,Gardnerella sp. 2,JCP8108,1B2,Dilution Start
F7,6,B,0.134,Gardnerella sp. 2,JCP8108,1B2,Dilution Start
G7,6,B,0.134,Gardnerella sp. 2,JCP8108,1B2,Dilution Start
H7,6,B,0.132,Gardnerella sp. 2,JCP8108,1B2,Dilution Start
A8,7,A,0.127,Gardnerella sp. 7,C0179B4,1B2,Dilution Start
B8,7,A,0.151,Gardnerella sp. 7,C0179B4,1B2,Dilution Start
C8,7,A,0.142,Gardnerella sp. 7,C0179B4,1B2,Dilution Start
D8,7,A,0.162,Gardnerella sp. 7,C0179B4,1B2,Dilution Start
E8,7,B,0.146,Gardnerella sp. 7,C0179B4,1B2,Dilution Start
F8,7,B,0.144,Gardnerella sp. 7,C0179B4,1B2,Dilution Start
G8,7,B,0.164,Gardnerella sp. 7,C0179B4,1B2,Dilution Start
H8,7,B,0.165,Gardnerella sp. 7,C0179B4,1B2,Dilution Start
A9,8,A,0.111,Gardnerella sp. 10,C0100B2,1B2,Dilution Start
B9,8,A,0.136,Gardnerella sp. 10,C0100B2,1B2,Dilution Start
C9,8,A,0.134,Gardnerella sp. 10,C0100B2,1B2,Dilution Start
D9,8,A,0.111,Gardnerella sp. 10,C0100B2,1B2,Dilution Start
E9,8,B,0.141,Gardnerella sp. 10,C0100B2,1B2,Dilution Start
F9,8,B,0.125,Gardnerella sp. 10,C0100B2,1B2,Dilution Start
G9,8,B,0.139,Gardnerella sp. 10,C0100B2,1B2,Dilution Start
H9,8,B,0.132,Gardnerella sp. 10,C0100B2,1B2,Dilution Start
A10,9,A,0.13,Gardnerella piotii,JCP8066,1B2,Dilution Start
B10,9,A,0.138,Gardnerella piotii,JCP8066,1B2,Dilution Start
C10,9,A,0.135,Gardnerella piotii,JCP8066,1B2,Dilution Start
D10,9,A,0.135,Gardnerella piotii,JCP8066,1B2,Dilution Start
E10,9,B,0.139,Gardnerella piotii,JCP8066,1B2,Dilution Start
F10,9,B,0.143,Gardnerella piotii,JCP8066,1B2,Dilution Start
G10,9,B,0.141,Gardnerella piotii,JCP8066,1B2,Dilution Start
H10,9,B,0.162,Gardnerella piotii,JCP8066,1B2,Dilution Start
A12,Blank,NA,0.097,NA,NA,1B2,Dilution Start
B12,Blank,NA,0.094,NA,NA,1B2,Dilution Start
C12,Blank,NA,0.094,NA,NA,1B2,Dilution Start
D12,Blank,NA,0.098,NA,NA,1B2,Dilution Start
A2,1,A,0.158,Gardnerella leopoldii,AMD,2A1,Dilution Start
B2,1,A,0.166,Gardnerella leopoldii,AMD,2A1,Dilution Start
C2,1,A,0.163,Gardnerella leopoldii,AMD,2A1,Dilution Start
D2,1,A,0.17,Gardnerella leopoldii,AMD,2A1,Dilution Start
E2,1,B,0.146,Gardnerella leopoldii,AMD,2A1,Dilution Start
F2,1,B,0.144,Gardnerella leopoldii,AMD,2A1,Dilution Start
G2,1,B,0.151,Gardnerella leopoldii,AMD,2A1,Dilution Start
H2,1,B,0.095,Gardnerella leopoldii,AMD,2A1,Dilution Start
A3,2,A,0.146,Gardnerella leopoldii,C0096A1,2A1,Dilution Start
B3,2,A,0.138,Gardnerella leopoldii,C0096A1,2A1,Dilution Start
C3,2,A,0.16,Gardnerella leopoldii,C0096A1,2A1,Dilution Start
D3,2,A,0.158,Gardnerella leopoldii,C0096A1,2A1,Dilution Start
E3,2,B,0.16,Gardnerella leopoldii,C0096A1,2A1,Dilution Start
F3,2,B,0.18,Gardnerella leopoldii,C0096A1,2A1,Dilution Start
G3,2,B,0.165,Gardnerella leopoldii,C0096A1,2A1,Dilution Start
H3,2,B,0.165,Gardnerella leopoldii,C0096A1,2A1,Dilution Start
A4,3,A,0.148,Gardnerella sp. 12,CMW7778B,2A1,Dilution Start
B4,3,A,0.15,Gardnerella sp. 12,CMW7778B,2A1,Dilution Start
C4,3,A,0.148,Gardnerella sp. 12,CMW7778B,2A1,Dilution Start
D4,3,A,0.148,Gardnerella sp. 12,CMW7778B,2A1,Dilution Start
E4,3,B,0.156,Gardnerella sp. 12,CMW7778B,2A1,Dilution Start
F4,3,B,0.146,Gardnerella sp. 12,CMW7778B,2A1,Dilution Start
G4,3,B,0.144,Gardnerella sp. 12,CMW7778B,2A1,Dilution Start
H4,3,B,0.143,Gardnerella sp. 12,CMW7778B,2A1,Dilution Start
A12,Blank,NA,0.093,NA,NA,2A1,Dilution Start
B12,Blank,NA,0.092,NA,NA,2A1,Dilution Start
C12,Blank,NA,0.096,NA,NA,2A1,Dilution Start
D12,Blank,NA,0.097,NA,NA,2A1,Dilution Start
A6,1,A,0.125,Gardnerella leopoldii,AMD,2A2,Dilution Start
B6,1,A,0.124,Gardnerella leopoldii,AMD,2A2,Dilution Start
C6,1,A,0.138,Gardnerella leopoldii,AMD,2A2,Dilution Start
D6,1,A,0.139,Gardnerella leopoldii,AMD,2A2,Dilution Start
E6,1,B,0.15,Gardnerella leopoldii,AMD,2A2,Dilution Start
F6,1,B,0.149,Gardnerella leopoldii,AMD,2A2,Dilution Start
G6,1,B,0.152,Gardnerella leopoldii,AMD,2A2,Dilution Start
H6,1,B,0.139,Gardnerella leopoldii,AMD,2A2,Dilution Start
A7,2,A,0.122,Gardnerella leopoldii,C0096A1,2A2,Dilution Start
B7,2,A,0.122,Gardnerella leopoldii,C0096A1,2A2,Dilution Start
C7,2,A,0.122,Gardnerella leopoldii,C0096A1,2A2,Dilution Start
D7,2,A,0.12,Gardnerella leopoldii,C0096A1,2A2,Dilution Start
E7,2,B,0.088,Gardnerella leopoldii,C0096A1,2A2,Dilution Start
F7,2,B,0.089,Gardnerella leopoldii,C0096A1,2A2,Dilution Start
G7,2,B,0.091,Gardnerella leopoldii,C0096A1,2A2,Dilution Start
H7,2,B,0.091,Gardnerella leopoldii,C0096A1,2A2,Dilution Start
A8,3,A,0.12,Gardnerella sp. 12,CMW7778B,2A2,Dilution Start
B8,3,A,0.123,Gardnerella sp. 12,CMW7778B,2A2,Dilution Start
C8,3,A,0.121,Gardnerella sp. 12,CMW7778B,2A2,Dilution Start
D8,3,A,0.126,Gardnerella sp. 12,CMW7778B,2A2,Dilution Start
E8,3,B,0.127,Gardnerella sp. 12,CMW7778B,2A2,Dilution Start
F8,3,B,0.127,Gardnerella sp. 12,CMW7778B,2A2,Dilution Start
G8,3,B,0.127,Gardnerella sp. 12,CMW7778B,2A2,Dilution Start
H8,3,B,0.123,Gardnerella sp. 12,CMW7778B,2A2,Dilution Start
E12,Blank,NA,0.093,NA,NA,2A2,Dilution Start
F12,Blank,NA,0.097,NA,NA,2A2,Dilution Start
G12,Blank,NA,0.093,NA,NA,2A2,Dilution Start
H12,Blank,NA,0.093,NA,NA,2A2,Dilution Start
A7,1,A,0.136,Gardnerella sp. 2,C0084H9,3A1,Dilution Start
B7,1,A,0.139,Gardnerella sp. 2,C0084H9,3A1,Dilution Start
C7,1,A,0.133,Gardnerella sp. 2,C0084H9,3A1,Dilution Start
D7,1,A,0.14,Gardnerella sp. 2,C0084H9,3A1,Dilution Start
E7,1,B,0.128,Gardnerella sp. 2,C0084H9,3A1,Dilution Start
F7,1,B,0.136,Gardnerella sp. 2,C0084H9,3A1,Dilution Start
G7,1,B,0.144,Gardnerella sp. 2,C0084H9,3A1,Dilution Start
H7,1,B,0.17,Gardnerella sp. 2,C0084H9,3A1,Dilution Start
A8,2,A,0.144,Gardnerella sp. 11,C0101A1,3A1,Dilution Start
B8,2,A,0.137,Gardnerella sp. 11,C0101A1,3A1,Dilution Start
C8,2,A,0.128,Gardnerella sp. 11,C0101A1,3A1,Dilution Start
D8,2,A,0.135,Gardnerella sp. 11,C0101A1,3A1,Dilution Start
E8,2,B,0.142,Gardnerella sp. 11,C0101A1,3A1,Dilution Start
F8,2,B,0.153,Gardnerella sp. 11,C0101A1,3A1,Dilution Start
G8,2,B,0.152,Gardnerella sp. 11,C0101A1,3A1,Dilution Start
H8,2,B,0.159,Gardnerella sp. 11,C0101A1,3A1,Dilution Start
A9,3,A,0.111,Gardnerella piotii,UM35,3A1,Dilution Start
B9,3,A,0.111,Gardnerella piotii,UM35,3A1,Dilution Start
C9,3,A,0.105,Gardnerella piotii,UM35,3A1,Dilution Start
D9,3,A,0.105,Gardnerella piotii,UM35,3A1,Dilution Start
E9,3,B,0.12,Gardnerella piotii,UM35,3A1,Dilution Start
F9,3,B,0.122,Gardnerella piotii,UM35,3A1,Dilution Start
G9,3,B,0.119,Gardnerella piotii,UM35,3A1,Dilution Start
H9,3,B,0.138,Gardnerella piotii,UM35,3A1,Dilution Start
A10,4,A,0.152,Gardnerella piotii,C0093B3,3A1,Dilution Start
B10,4,A,0.139,Gardnerella piotii,C0093B3,3A1,Dilution Start
C10,4,A,0.137,Gardnerella piotii,C0093B3,3A1,Dilution Start
D10,4,A,0.124,Gardnerella piotii,C0093B3,3A1,Dilution Start
E10,4,B,0.121,Gardnerella piotii,C0093B3,3A1,Dilution Start
F10,4,B,0.128,Gardnerella piotii,C0093B3,3A1,Dilution Start
G10,4,B,0.127,Gardnerella piotii,C0093B3,3A1,Dilution Start
H10,4,B,0.133,Gardnerella piotii,C0093B3,3A1,Dilution Start
E12,Blank,NA,0.097,NA,NA,3A1,Dilution Start
F12,Blank,NA,0.094,NA,NA,3A1,Dilution Start
G12,Blank,NA,0.096,NA,NA,3A1,Dilution Start
H12,Blank,NA,0.096,NA,NA,3A1,Dilution Start
A6,1,A,0.13,Gardnerella sp. 2,C0084H9,3A2,Dilution Start
B6,1,A,0.133,Gardnerella sp. 2,C0084H9,3A2,Dilution Start
C6,1,A,0.119,Gardnerella sp. 2,C0084H9,3A2,Dilution Start
D6,1,A,0.124,Gardnerella sp. 2,C0084H9,3A2,Dilution Start
E6,1,B,0.132,Gardnerella sp. 2,C0084H9,3A2,Dilution Start
F6,1,B,0.134,Gardnerella sp. 2,C0084H9,3A2,Dilution Start
G6,1,B,0.126,Gardnerella sp. 2,C0084H9,3A2,Dilution Start
H6,1,B,0.132,Gardnerella sp. 2,C0084H9,3A2,Dilution Start
A7,2,A,0.205,Gardnerella sp. 11,C0101A1,3A2,Dilution Start
B7,2,A,0.13,Gardnerella sp. 11,C0101A1,3A2,Dilution Start
C7,2,A,0.14,Gardnerella sp. 11,C0101A1,3A2,Dilution Start
D7,2,A,0.139,Gardnerella sp. 11,C0101A1,3A2,Dilution Start
E7,2,B,0.136,Gardnerella sp. 11,C0101A1,3A2,Dilution Start
F7,2,B,0.113,Gardnerella sp. 11,C0101A1,3A2,Dilution Start
G7,2,B,0.114,Gardnerella sp. 11,C0101A1,3A2,Dilution Start
H7,2,B,0.113,Gardnerella sp. 11,C0101A1,3A2,Dilution Start
A8,3,A,0.12,Gardnerella piotii,UM35,3A2,Dilution Start
B8,3,A,0.113,Gardnerella piotii,UM35,3A2,Dilution Start
C8,3,A,0.111,Gardnerella piotii,UM35,3A2,Dilution Start
D8,3,A,0.114,Gardnerella piotii,UM35,3A2,Dilution Start
E8,3,B,0.111,Gardnerella piotii,UM35,3A2,Dilution Start
F8,3,B,0.105,Gardnerella piotii,UM35,3A2,Dilution Start
G8,3,B,0.101,Gardnerella piotii,UM35,3A2,Dilution Start
H8,3,B,0.106,Gardnerella piotii,UM35,3A2,Dilution Start
A9,4,A,0.216,Gardnerella piotii,C0093B3,3A2,Dilution Start
B9,4,A,0.159,Gardnerella piotii,C0093B3,3A2,Dilution Start
C9,4,A,0.142,Gardnerella piotii,C0093B3,3A2,Dilution Start
D9,4,A,0.163,Gardnerella piotii,C0093B3,3A2,Dilution Start
E9,4,B,0.149,Gardnerella piotii,C0093B3,3A2,Dilution Start
F9,4,B,0.18,Gardnerella piotii,C0093B3,3A2,Dilution Start
G9,4,B,0.152,Gardnerella piotii,C0093B3,3A2,Dilution Start
H9,4,B,0.161,Gardnerella piotii,C0093B3,3A2,Dilution Start
E12,Blank,NA,0.092,NA,NA,3A2,Dilution Start
F12,Blank,NA,0.093,NA,NA,3A2,Dilution Start
G12,Blank,NA,0.106,NA,NA,3A2,Dilution Start
H12,Blank,NA,0.109,NA,NA,3A2,Dilution Start
A2,1,A,0.125,Gardnerella sp. 10,C0100B2,1A1,Mid Log
B2,1,A,0.145,Gardnerella sp. 10,C0100B2,1A1,Mid Log
C2,1,A,0.144,Gardnerella sp. 10,C0100B2,1A1,Mid Log
D2,1,A,0.141,Gardnerella sp. 10,C0100B2,1A1,Mid Log
E2,1,B,0.147,Gardnerella sp. 10,C0100B2,1A1,Mid Log
F2,1,B,0.15,Gardnerella sp. 10,C0100B2,1A1,Mid Log
G2,1,B,0.148,Gardnerella sp. 10,C0100B2,1A1,Mid Log
H2,1,B,0.149,Gardnerella sp. 10,C0100B2,1A1,Mid Log
A3,2,A,0.333,Gardnerella vaginalis,315-A,1A1,Mid Log
B3,2,A,0.317,Gardnerella vaginalis,315-A,1A1,Mid Log
C3,2,A,0.294,Gardnerella vaginalis,315-A,1A1,Mid Log
D3,2,A,0.294,Gardnerella vaginalis,315-A,1A1,Mid Log
E3,2,B,0.282,Gardnerella vaginalis,315-A,1A1,Mid Log
F3,2,B,0.31,Gardnerella vaginalis,315-A,1A1,Mid Log
G3,2,B,0.322,Gardnerella vaginalis,315-A,1A1,Mid Log
H3,2,B,0.345,Gardnerella vaginalis,315-A,1A1,Mid Log
A4,3,A,0.168,Gardnerella piotii,JCP8066,1A1,Mid Log
B4,3,A,0.188,Gardnerella piotii,JCP8066,1A1,Mid Log
C4,3,A,0.195,Gardnerella piotii,JCP8066,1A1,Mid Log
D4,3,A,0.195,Gardnerella piotii,JCP8066,1A1,Mid Log
E4,3,B,0.257,Gardnerella piotii,JCP8066,1A1,Mid Log
F4,3,B,0.261,Gardnerella piotii,JCP8066,1A1,Mid Log
G4,3,B,0.259,Gardnerella piotii,JCP8066,1A1,Mid Log
H4,3,B,0.257,Gardnerella piotii,JCP8066,1A1,Mid Log
A5,4,A,0.187,Gardnerella sp. 3,JCP8017B,1A1,Mid Log
B5,4,A,0.2,Gardnerella sp. 3,JCP8017B,1A1,Mid Log
C5,4,A,0.21,Gardnerella sp. 3,JCP8017B,1A1,Mid Log
D5,4,A,0.212,Gardnerella sp. 3,JCP8017B,1A1,Mid Log
E5,4,B,0.264,Gardnerella sp. 3,JCP8017B,1A1,Mid Log
F5,4,B,0.269,Gardnerella sp. 3,JCP8017B,1A1,Mid Log
G5,4,B,0.264,Gardnerella sp. 3,JCP8017B,1A1,Mid Log
H5,4,B,0.253,Gardnerella sp. 3,JCP8017B,1A1,Mid Log
A6,5,A,0.268,Gardnerella vaginalis,C0011E4,1A1,Mid Log
B6,5,A,0.285,Gardnerella vaginalis,C0011E4,1A1,Mid Log
C6,5,A,0.272,Gardnerella vaginalis,C0011E4,1A1,Mid Log
D6,5,A,0.258,Gardnerella vaginalis,C0011E4,1A1,Mid Log
E6,5,B,0.258,Gardnerella vaginalis,C0011E4,1A1,Mid Log
F6,5,B,0.289,Gardnerella vaginalis,C0011E4,1A1,Mid Log
G6,5,B,0.286,Gardnerella vaginalis,C0011E4,1A1,Mid Log
H6,5,B,0.302,Gardnerella vaginalis,C0011E4,1A1,Mid Log
A7,6,A,0.234,Gardnerella swidsinskii,UM224,1A1,Mid Log
B7,6,A,0.249,Gardnerella swidsinskii,UM224,1A1,Mid Log
C7,6,A,0.27,Gardnerella swidsinskii,UM224,1A1,Mid Log
D7,6,A,0.265,Gardnerella swidsinskii,UM224,1A1,Mid Log
E7,6,B,0.127,Gardnerella swidsinskii,UM224,1A1,Mid Log
F7,6,B,0.125,Gardnerella swidsinskii,UM224,1A1,Mid Log
G7,6,B,0.122,Gardnerella swidsinskii,UM224,1A1,Mid Log
H7,6,B,0.116,Gardnerella swidsinskii,UM224,1A1,Mid Log
A8,7,A,0.32,Gardnerella swidsinskii,C0102A2,1A1,Mid Log
B8,7,A,0.319,Gardnerella swidsinskii,C0102A2,1A1,Mid Log
C8,7,A,0.315,Gardnerella swidsinskii,C0102A2,1A1,Mid Log
D8,7,A,0.301,Gardnerella swidsinskii,C0102A2,1A1,Mid Log
E8,7,B,0.191,Gardnerella swidsinskii,C0102A2,1A1,Mid Log
F8,7,B,0.196,Gardnerella swidsinskii,C0102A2,1A1,Mid Log
G8,7,B,0.215,Gardnerella swidsinskii,C0102A2,1A1,Mid Log
H8,7,B,0.202,Gardnerella swidsinskii,C0102A2,1A1,Mid Log
A9,8,A,0.198,Gardnerella vaginalis,14018,1A1,Mid Log
B9,8,A,0.211,Gardnerella vaginalis,14018,1A1,Mid Log
C9,8,A,0.231,Gardnerella vaginalis,14018,1A1,Mid Log
D9,8,A,0.245,Gardnerella vaginalis,14018,1A1,Mid Log
E9,8,B,0.264,Gardnerella vaginalis,14018,1A1,Mid Log
F9,8,B,0.253,Gardnerella vaginalis,14018,1A1,Mid Log
G9,8,B,0.239,Gardnerella vaginalis,14018,1A1,Mid Log
H9,8,B,0.238,Gardnerella vaginalis,14018,1A1,Mid Log
A12,Blank,NA,0.092,NA,NA,1A1,Mid Log
B12,Blank,NA,0.094,NA,NA,1A1,Mid Log
C12,Blank,NA,0.109,NA,NA,1A1,Mid Log
D12,Blank,NA,0.106,NA,NA,1A1,Mid Log
A2,1,A,0.132,Gardnerella sp. 10,C0100B2,1A2,Mid Log
B2,1,A,0.153,Gardnerella sp. 10,C0100B2,1A2,Mid Log
C2,1,A,0.171,Gardnerella sp. 10,C0100B2,1A2,Mid Log
D2,1,A,0.163,Gardnerella sp. 10,C0100B2,1A2,Mid Log
E2,1,B,0.155,Gardnerella sp. 10,C0100B2,1A2,Mid Log
F2,1,B,0.157,Gardnerella sp. 10,C0100B2,1A2,Mid Log
G2,1,B,0.151,Gardnerella sp. 10,C0100B2,1A2,Mid Log
H2,1,B,0.12,Gardnerella sp. 10,C0100B2,1A2,Mid Log
A3,2,A,0.285,Gardnerella vaginalis,315-A,1A2,Mid Log
B3,2,A,0.289,Gardnerella vaginalis,315-A,1A2,Mid Log
C3,2,A,0.295,Gardnerella vaginalis,315-A,1A2,Mid Log
D3,2,A,0.288,Gardnerella vaginalis,315-A,1A2,Mid Log
E3,2,B,0.286,Gardnerella vaginalis,315-A,1A2,Mid Log
F3,2,B,0.298,Gardnerella vaginalis,315-A,1A2,Mid Log
G3,2,B,0.318,Gardnerella vaginalis,315-A,1A2,Mid Log
H3,2,B,0.316,Gardnerella vaginalis,315-A,1A2,Mid Log
A4,3,A,0.113,Gardnerella piotii,JCP8066,1A2,Mid Log
B4,3,A,0.14,Gardnerella piotii,JCP8066,1A2,Mid Log
C4,3,A,0.143,Gardnerella piotii,JCP8066,1A2,Mid Log
D4,3,A,0.143,Gardnerella piotii,JCP8066,1A2,Mid Log
E4,3,B,0.143,Gardnerella piotii,JCP8066,1A2,Mid Log
F4,3,B,0.147,Gardnerella piotii,JCP8066,1A2,Mid Log
G4,3,B,0.144,Gardnerella piotii,JCP8066,1A2,Mid Log
H4,3,B,0.137,Gardnerella piotii,JCP8066,1A2,Mid Log
A5,4,A,0.227,Gardnerella sp. 3,JCP8017B,1A2,Mid Log
B5,4,A,0.248,Gardnerella sp. 3,JCP8017B,1A2,Mid Log
C5,4,A,0.27,Gardnerella sp. 3,JCP8017B,1A2,Mid Log
D5,4,A,0.286,Gardnerella sp. 3,JCP8017B,1A2,Mid Log
E5,4,B,0.284,Gardnerella sp. 3,JCP8017B,1A2,Mid Log
F5,4,B,0.278,Gardnerella sp. 3,JCP8017B,1A2,Mid Log
G5,4,B,0.27,Gardnerella sp. 3,JCP8017B,1A2,Mid Log
H5,4,B,0.264,Gardnerella sp. 3,JCP8017B,1A2,Mid Log
A6,5,A,0.234,Gardnerella vaginalis,C0011E4,1A2,Mid Log
B6,5,A,0.264,Gardnerella vaginalis,C0011E4,1A2,Mid Log
C6,5,A,0.272,Gardnerella vaginalis,C0011E4,1A2,Mid Log
D6,5,A,0.276,Gardnerella vaginalis,C0011E4,1A2,Mid Log
E6,5,B,0.301,Gardnerella vaginalis,C0011E4,1A2,Mid Log
F6,5,B,0.305,Gardnerella vaginalis,C0011E4,1A2,Mid Log
G6,5,B,0.307,Gardnerella vaginalis,C0011E4,1A2,Mid Log
H6,5,B,0.309,Gardnerella vaginalis,C0011E4,1A2,Mid Log
A7,6,A,0.184,Gardnerella swidsinskii,UM224,1A2,Mid Log
B7,6,A,0.224,Gardnerella swidsinskii,UM224,1A2,Mid Log
C7,6,A,0.23,Gardnerella swidsinskii,UM224,1A2,Mid Log
D7,6,A,0.241,Gardnerella swidsinskii,UM224,1A2,Mid Log
E7,6,B,0.252,Gardnerella swidsinskii,UM224,1A2,Mid Log
F7,6,B,0.248,Gardnerella swidsinskii,UM224,1A2,Mid Log
G7,6,B,0.251,Gardnerella swidsinskii,UM224,1A2,Mid Log
H7,6,B,0.24,Gardnerella swidsinskii,UM224,1A2,Mid Log
A8,7,A,0.296,Gardnerella swidsinskii,C0102A2,1A2,Mid Log
B8,7,A,0.311,Gardnerella swidsinskii,C0102A2,1A2,Mid Log
C8,7,A,0.333,Gardnerella swidsinskii,C0102A2,1A2,Mid Log
D8,7,A,0.337,Gardnerella swidsinskii,C0102A2,1A2,Mid Log
E8,7,B,0.334,Gardnerella swidsinskii,C0102A2,1A2,Mid Log
F8,7,B,0.332,Gardnerella swidsinskii,C0102A2,1A2,Mid Log
G8,7,B,0.347,Gardnerella swidsinskii,C0102A2,1A2,Mid Log
H8,7,B,0.343,Gardnerella swidsinskii,C0102A2,1A2,Mid Log
A9,8,A,0.208,Gardnerella vaginalis,14018,1A2,Mid Log
