well,OD,Measure,Number,BioRep,Strain,Species,Protocol,Batch
C7,0.049,Safranin Planktonic OD,6,A,C0040C2,Gardnerella sp. 3,1,1AB3
D7,0.049,Safranin Planktonic OD,6,A,C0040C2,Gardnerella sp. 3,1,1AB3
E7,0.049,Safranin Planktonic OD,6,B,C0040C2,Gardnerella sp. 3,1,1AB3
F7,0.055,Safranin Planktonic OD,6,B,C0040C2,Gardnerella sp. 3,1,1AB3
G7,0.06,Safranin Planktonic OD,6,B,C0040C2,Gardnerella sp. 3,1,1AB3
H7,0.088,Safranin Planktonic OD,6,B,C0040C2,Gardnerella sp. 3,1,1AB3
A9,0.053,Safranin Planktonic OD,8,A,C0102A2,Gardnerella swidsinskii,1,1AB3
B9,0.066,Safranin Planktonic OD,8,A,C0102A2,Gardnerella swidsinskii,1,1AB3
C9,0.063,Safranin Planktonic OD,8,A,C0102A2,Gardnerella swidsinskii,1,1AB3
D9,0.099,Safranin Planktonic OD,8,A,C0102A2,Gardnerella swidsinskii,1,1AB3
E9,0.067,Safranin Planktonic OD,8,B,C0102A2,Gardnerella swidsinskii,1,1AB3
F9,0.072,Safranin Planktonic OD,8,B,C0102A2,Gardnerella swidsinskii,1,1AB3
G9,0.075,Safranin Planktonic OD,8,B,C0102A2,Gardnerella swidsinskii,1,1AB3
H9,0.083,Safranin Planktonic OD,8,B,C0102A2,Gardnerella swidsinskii,1,1AB3
A12,0.042,Safranin Planktonic OD,Blank,NA,NA,NA,NA,1AB3
B12,0.042,Safranin Planktonic OD,Blank,NA,NA,NA,NA,1AB3
C12,0.043,Safranin Planktonic OD,Blank,NA,NA,NA,NA,1AB3
D12,0.043,Safranin Planktonic OD,Blank,NA,NA,NA,NA,1AB3
A2,0.088,Safranin Planktonic OD,1,A,JCP7275,Gardnerella sp. 2,1,1AB4
B2,0.084,Safranin Planktonic OD,1,A,JCP7275,Gardnerella sp. 2,1,1AB4
C2,0.106,Safranin Planktonic OD,1,A,JCP7275,Gardnerella sp. 2,1,1AB4
D2,0.138,Safranin Planktonic OD,1,A,JCP7275,Gardnerella sp. 2,1,1AB4
A3,0.137,Safranin Planktonic OD,2,A,JCP8108,Gardnerella sp. 2,1,1AB4
B3,0.127,Safranin Planktonic OD,2,A,JCP8108,Gardnerella sp. 2,1,1AB4
C3,0.143,Safranin Planktonic OD,2,A,JCP8108,Gardnerella sp. 2,1,1AB4
D3,0.125,Safranin Planktonic OD,2,A,JCP8108,Gardnerella sp. 2,1,1AB4
E3,0.126,Safranin Planktonic OD,2,B,JCP8108,Gardnerella sp. 2,1,1AB4
F3,0.113,Safranin Planktonic OD,2,B,JCP8108,Gardnerella sp. 2,1,1AB4
G3,0.131,Safranin Planktonic OD,2,B,JCP8108,Gardnerella sp. 2,1,1AB4
H3,0.142,Safranin Planktonic OD,2,B,JCP8108,Gardnerella sp. 2,1,1AB4
A4,0.081,Safranin Planktonic OD,3,A,C0100B2,Gardnerella sp. 10,1,1AB4
B4,0.086,Safranin Planktonic OD,3,A,C0100B2,Gardnerella sp. 10,1,1AB4
C4,0.068,Safranin Planktonic OD,3,A,C0100B2,Gardnerella sp. 10,1,1AB4
D4,0.091,Safranin Planktonic OD,3,A,C0100B2,Gardnerella sp. 10,1,1AB4
E4,0.061,Safranin Planktonic OD,3,B,C0100B2,Gardnerella sp. 10,1,1AB4
F4,0.07,Safranin Planktonic OD,3,B,C0100B2,Gardnerella sp. 10,1,1AB4
G4,0.09,Safranin Planktonic OD,3,B,C0100B2,Gardnerella sp. 10,1,1AB4
H4,0.099,Safranin Planktonic OD,3,B,C0100B2,Gardnerella sp. 10,1,1AB4
A6,0.043,Safranin Planktonic OD,Blank,NA,NA,NA,NA,1AB4
B6,0.043,Safranin Planktonic OD,Blank,NA,NA,NA,NA,1AB4
C6,0.043,Safranin Planktonic OD,Blank,NA,NA,NA,NA,1AB4
D6,0.043,Safranin Planktonic OD,Blank,NA,NA,NA,NA,1AB4
A2,0.045,Safranin Planktonic OD,4,A,C0096A1,Gardnerella leopoldii,2,2A3
B2,0.046,Safranin Planktonic OD,4,A,C0096A1,Gardnerella leopoldii,2,2A3
C2,0.045,Safranin Planktonic OD,4,A,C0096A1,Gardnerella leopoldii,2,2A3
D2,0.045,Safranin Planktonic OD,4,A,C0096A1,Gardnerella leopoldii,2,2A3
E2,0.059,Safranin Planktonic OD,4,B,C0096A1,Gardnerella leopoldii,2,2A3
F2,0.056,Safranin Planktonic OD,4,B,C0096A1,Gardnerella leopoldii,2,2A3
G2,0.054,Safranin Planktonic OD,4,B,C0096A1,Gardnerella leopoldii,2,2A3
H2,0.053,Safranin Planktonic OD,4,B,C0096A1,Gardnerella leopoldii,2,2A3
A3,0.149,Safranin Planktonic OD,5,A,CMW7778B,Gardnerella sp. 12,2,2A3
B3,0.16,Safranin Planktonic OD,5,A,CMW7778B,Gardnerella sp. 12,2,2A3
C3,0.165,Safranin Planktonic OD,5,A,CMW7778B,Gardnerella sp. 12,2,2A3
D3,0.167,Safranin Planktonic OD,5,A,CMW7778B,Gardnerella sp. 12,2,2A3
E3,0.171,Safranin Planktonic OD,5,B,CMW7778B,Gardnerella sp. 12,2,2A3
F3,0.202,Safranin Planktonic OD,5,B,CMW7778B,Gardnerella sp. 12,2,2A3
G3,0.173,Safranin Planktonic OD,5,B,CMW7778B,Gardnerella sp. 12,2,2A3
H3,0.186,Safranin Planktonic OD,5,B,CMW7778B,Gardnerella sp. 12,2,2A3
A4,0.163,Safranin Planktonic OD,6,A,CMW7778B,Gardnerella sp. 12,2,2A3
B4,0.161,Safranin Planktonic OD,6,A,CMW7778B,Gardnerella sp. 12,2,2A3
C4,0.15,Safranin Planktonic OD,6,A,CMW7778B,Gardnerella sp. 12,2,2A3
D4,0.162,Safranin Planktonic OD,6,A,CMW7778B,Gardnerella sp. 12,2,2A3
E4,0.136,Safranin Planktonic OD,6,B,CMW7778B,Gardnerella sp. 12,2,2A3
F4,0.161,Safranin Planktonic OD,6,B,CMW7778B,Gardnerella sp. 12,2,2A3
G4,0.152,Safranin Planktonic OD,6,B,CMW7778B,Gardnerella sp. 12,2,2A3
H4,0.152,Safranin Planktonic OD,6,B,CMW7778B,Gardnerella sp. 12,2,2A3
A6,0.042,Safranin Planktonic OD,Blank,NA,NA,NA,NA,2A3
B6,0.043,Safranin Planktonic OD,Blank,NA,NA,NA,NA,2A3
C6,0.042,Safranin Planktonic OD,Blank,NA,NA,NA,NA,2A3
D6,0.042,Safranin Planktonic OD,Blank,NA,NA,NA,NA,2A3
A2,0.119,Safranin Planktonic OD,1,A,UM35,Gardnerella piotii,3,3A3
B2,0.193,Safranin Planktonic OD,1,A,UM35,Gardnerella piotii,3,3A3
C2,0.218,Safranin Planktonic OD,1,A,UM35,Gardnerella piotii,3,3A3
D2,0.251,Safranin Planktonic OD,1,A,UM35,Gardnerella piotii,3,3A3
E2,0.328,Safranin Planktonic OD,1,B,UM35,Gardnerella piotii,3,3A3
F2,0.353,Safranin Planktonic OD,1,B,UM35,Gardnerella piotii,3,3A3
G2,0.329,Safranin Planktonic OD,1,B,UM35,Gardnerella piotii,3,3A3
H2,0.235,Safranin Planktonic OD,1,B,UM35,Gardnerella piotii,3,3A3
A3,0.18,Safranin Planktonic OD,2,A,UM35,Gardnerella piotii,3,3A3
B3,0.061,Safranin Planktonic OD,2,A,UM35,Gardnerella piotii,3,3A3
C3,0.061,Safranin Planktonic OD,2,A,UM35,Gardnerella piotii,3,3A3
D3,0.085,Safranin Planktonic OD,2,A,UM35,Gardnerella piotii,3,3A3
E3,0.084,Safranin Planktonic OD,2,B,UM35,Gardnerella piotii,3,3A3
F3,0.096,Safranin Planktonic OD,2,B,UM35,Gardnerella piotii,3,3A3
G3,0.101,Safranin Planktonic OD,2,B,UM35,Gardnerella piotii,3,3A3
H3,0.111,Safranin Planktonic OD,2,B,UM35,Gardnerella piotii,3,3A3
A4,0.147,Safranin Planktonic OD,3,A,C0084H9,Gardnerella sp. 2,3,3A3
B4,0.188,Safranin Planktonic OD,3,A,C0084H9,Gardnerella sp. 2,3,3A3
C4,0.231,Safranin Planktonic OD,3,A,C0084H9,Gardnerella sp. 2,3,3A3
D4,0.239,Safranin Planktonic OD,3,A,C0084H9,Gardnerella sp. 2,3,3A3
E4,0.147,Safranin Planktonic OD,3,B,C0084H9,Gardnerella sp. 2,3,3A3
F4,0.183,Safranin Planktonic OD,3,B,C0084H9,Gardnerella sp. 2,3,3A3
G4,0.139,Safranin Planktonic OD,3,B,C0084H9,Gardnerella sp. 2,3,3A3
H4,0.137,Safranin Planktonic OD,3,B,C0084H9,Gardnerella sp. 2,3,3A3
A5,0.259,Safranin Planktonic OD,4,A,C0093B3,Gardnerella piotii,3,3A3
B5,0.225,Safranin Planktonic OD,4,A,C0093B3,Gardnerella piotii,3,3A3
C5,0.243,Safranin Planktonic OD,4,A,C0093B3,Gardnerella piotii,3,3A3
D5,0.247,Safranin Planktonic OD,4,A,C0093B3,Gardnerella piotii,3,3A3
E5,0.277,Safranin Planktonic OD,4,B,C0093B3,Gardnerella piotii,3,3A3
F5,0.275,Safranin Planktonic OD,4,B,C0093B3,Gardnerella piotii,3,3A3
G5,0.232,Safranin Planktonic OD,4,B,C0093B3,Gardnerella piotii,3,3A3
H5,0.275,Safranin Planktonic OD,4,B,C0093B3,Gardnerella piotii,3,3A3
A12,0.04,Safranin Planktonic OD,Blank,NA,NA,NA,NA,3A3
B12,0.042,Safranin Planktonic OD,Blank,NA,NA,NA,NA,3A3
C12,0.041,Safranin Planktonic OD,Blank,NA,NA,NA,NA,3A3
D12,0.043,Safranin Planktonic OD,Blank,NA,NA,NA,NA,3A3
