well,Number,BioRep,OD,Species,Strain,Batch,Protocol,BatchN,Step
C2,1,A,0.116,Gardnerella leopoldii,AMD,2A1,2,1,Mid Log
D2,1,A,0.113,Gardnerella leopoldii,AMD,2A1,2,1,Mid Log
E2,1,B,0.106,Gardnerella leopoldii,AMD,2A1,2,1,Mid Log
F2,1,B,0.109,Gardnerella leopoldii,AMD,2A1,2,1,Mid Log
G2,1,B,0.113,Gardnerella leopoldii,AMD,2A1,2,1,Mid Log
H2,1,B,0.109,Gardnerella leopoldii,AMD,2A1,2,1,Mid Log
A3,2,A,0.193,Gardnerella leopoldii,C0096A1,2A1,2,1,Mid Log
B3,2,A,0.171,Gardnerella leopoldii,C0096A1,2A1,2,1,Mid Log
C3,2,A,0.17,Gardnerella leopoldii,C0096A1,2A1,2,1,Mid Log
D3,2,A,0.166,Gardnerella leopoldii,C0096A1,2A1,2,1,Mid Log
E3,2,B,0.157,Gardnerella leopoldii,C0096A1,2A1,2,1,Mid Log
F3,2,B,0.164,Gardnerella leopoldii,C0096A1,2A1,2,1,Mid Log
G3,2,B,0.179,Gardnerella leopoldii,C0096A1,2A1,2,1,Mid Log
H3,2,B,0.176,Gardnerella leopoldii,C0096A1,2A1,2,1,Mid Log
A4,3,A,0.157,Gardnerella sp. 12,CMW7778B,2A1,2,1,Mid Log
B4,3,A,0.155,Gardnerella sp. 12,CMW7778B,2A1,2,1,Mid Log
C4,3,A,0.152,Gardnerella sp. 12,CMW7778B,2A1,2,1,Mid Log
D4,3,A,0.148,Gardnerella sp. 12,CMW7778B,2A1,2,1,Mid Log
E4,3,B,0.142,Gardnerella sp. 12,CMW7778B,2A1,2,1,Mid Log
F4,3,B,0.151,Gardnerella sp. 12,CMW7778B,2A1,2,1,Mid Log
G4,3,B,0.164,Gardnerella sp. 12,CMW7778B,2A1,2,1,Mid Log
H4,3,B,0.195,Gardnerella sp. 12,CMW7778B,2A1,2,1,Mid Log
B12,Blank,NA,0.051,NA,NA,NA,NA,NA,Mid Log
C12,Blank,NA,0.052,NA,NA,NA,NA,NA,Mid Log
D12,Blank,NA,0.053,NA,NA,NA,NA,NA,Mid Log
A2,1,A,0.078,Gardnerella sp. 10,C0100B2,1B2,1,2,Mid Log
B2,1,A,0.075,Gardnerella sp. 10,C0100B2,1B2,1,2,Mid Log
C2,1,A,0.077,Gardnerella sp. 10,C0100B2,1B2,1,2,Mid Log
D2,1,A,0.074,Gardnerella sp. 10,C0100B2,1B2,1,2,Mid Log
E2,1,B,0.075,Gardnerella sp. 10,C0100B2,1B2,1,2,Mid Log
F2,1,B,0.078,Gardnerella sp. 10,C0100B2,1B2,1,2,Mid Log
G2,1,B,0.078,Gardnerella sp. 10,C0100B2,1B2,1,2,Mid Log
H2,1,B,0.078,Gardnerella sp. 10,C0100B2,1B2,1,2,Mid Log
A3,2,A,0.057,Gardnerella sp. 7,C0179B4,1B2,1,2,Mid Log
B3,2,A,0.056,Gardnerella sp. 7,C0179B4,1B2,1,2,Mid Log
C3,2,A,0.056,Gardnerella sp. 7,C0179B4,1B2,1,2,Mid Log
D3,2,A,0.055,Gardnerella sp. 7,C0179B4,1B2,1,2,Mid Log
E3,2,B,0.054,Gardnerella sp. 7,C0179B4,1B2,1,2,Mid Log
F3,2,B,0.056,Gardnerella sp. 7,C0179B4,1B2,1,2,Mid Log
G3,2,B,0.067,Gardnerella sp. 7,C0179B4,1B2,1,2,Mid Log
H3,2,B,0.058,Gardnerella sp. 7,C0179B4,1B2,1,2,Mid Log
A4,3,A,0.123,Gardnerella swidsinskii,C0102A2,1B2,1,2,Mid Log
B4,3,A,0.119,Gardnerella swidsinskii,C0102A2,1B2,1,2,Mid Log
C4,3,A,0.118,Gardnerella swidsinskii,C0102A2,1B2,1,2,Mid Log
D4,3,A,0.117,Gardnerella swidsinskii,C0102A2,1B2,1,2,Mid Log
E4,3,B,0.09,Gardnerella swidsinskii,C0102A2,1B2,1,2,Mid Log
F4,3,B,0.093,Gardnerella swidsinskii,C0102A2,1B2,1,2,Mid Log
G4,3,B,0.094,Gardnerella swidsinskii,C0102A2,1B2,1,2,Mid Log
H4,3,B,0.096,Gardnerella swidsinskii,C0102A2,1B2,1,2,Mid Log
A5,4,A,0.185,Gardnerella sp. 3,JCP8017B,1B2,1,2,Mid Log
B5,4,A,0.18,Gardnerella sp. 3,JCP8017B,1B2,1,2,Mid Log
C5,4,A,0.181,Gardnerella sp. 3,JCP8017B,1B2,1,2,Mid Log
D5,4,A,0.197,Gardnerella sp. 3,JCP8017B,1B2,1,2,Mid Log
E5,4,B,0.166,Gardnerella sp. 3,JCP8017B,1B2,1,2,Mid Log
F5,4,B,0.173,Gardnerella sp. 3,JCP8017B,1B2,1,2,Mid Log
G5,4,B,0.165,Gardnerella sp. 3,JCP8017B,1B2,1,2,Mid Log
H5,4,B,0.157,Gardnerella sp. 3,JCP8017B,1B2,1,2,Mid Log
A6,5,A,0.167,Gardnerella swidsinskii,UM224,1B2,1,2,Mid Log
B6,5,A,0.163,Gardnerella swidsinskii,UM224,1B2,1,2,Mid Log
C6,5,A,0.163,Gardnerella swidsinskii,UM224,1B2,1,2,Mid Log
D6,5,A,0.18,Gardnerella swidsinskii,UM224,1B2,1,2,Mid Log
E6,5,B,0.161,Gardnerella swidsinskii,UM224,1B2,1,2,Mid Log
F6,5,B,0.163,Gardnerella swidsinskii,UM224,1B2,1,2,Mid Log
G6,5,B,0.17,Gardnerella swidsinskii,UM224,1B2,1,2,Mid Log
H6,5,B,0.158,Gardnerella swidsinskii,UM224,1B2,1,2,Mid Log
A7,6,A,0.08,Gardnerella sp. 2,JCP7275,1B2,1,2,Mid Log
B7,6,A,0.08,Gardnerella sp. 2,JCP7275,1B2,1,2,Mid Log
C7,6,A,0.083,Gardnerella sp. 2,JCP7275,1B2,1,2,Mid Log
D7,6,A,0.083,Gardnerella sp. 2,JCP7275,1B2,1,2,Mid Log
E7,6,B,0.083,Gardnerella sp. 2,JCP7275,1B2,1,2,Mid Log
F7,6,B,0.087,Gardnerella sp. 2,JCP7275,1B2,1,2,Mid Log
G7,6,B,0.085,Gardnerella sp. 2,JCP7275,1B2,1,2,Mid Log
H7,6,B,0.082,Gardnerella sp. 2,JCP7275,1B2,1,2,Mid Log
A8,7,A,0.146,Gardnerella sp. 2,JCP8108,1B2,1,2,Mid Log
B8,7,A,0.151,Gardnerella sp. 2,JCP8108,1B2,1,2,Mid Log
C8,7,A,0.147,Gardnerella sp. 2,JCP8108,1B2,1,2,Mid Log
D8,7,A,0.149,Gardnerella sp. 2,JCP8108,1B2,1,2,Mid Log
E8,7,B,0.134,Gardnerella sp. 2,JCP8108,1B2,1,2,Mid Log
F8,7,B,0.136,Gardnerella sp. 2,JCP8108,1B2,1,2,Mid Log
G8,7,B,0.149,Gardnerella sp. 2,JCP8108,1B2,1,2,Mid Log
H8,7,B,0.152,Gardnerella sp. 2,JCP8108,1B2,1,2,Mid Log
A12,Blank,NA,0.049,NA,NA,NA,NA,NA,Mid Log
C12,Blank,NA,0.049,NA,NA,NA,NA,NA,Mid Log
A2,1,A,0.112,Gardnerella leopoldii,AMD,2A2,2,2,Mid Log
B2,1,A,0.111,Gardnerella leopoldii,AMD,2A2,2,2,Mid Log
C2,1,A,0.113,Gardnerella leopoldii,AMD,2A2,2,2,Mid Log
D2,1,A,0.114,Gardnerella leopoldii,AMD,2A2,2,2,Mid Log
E2,1,B,0.107,Gardnerella leopoldii,AMD,2A2,2,2,Mid Log
F2,1,B,0.11,Gardnerella leopoldii,AMD,2A2,2,2,Mid Log
G2,1,B,0.107,Gardnerella leopoldii,AMD,2A2,2,2,Mid Log
H2,1,B,0.112,Gardnerella leopoldii,AMD,2A2,2,2,Mid Log
A3,2,A,0.161,Gardnerella leopoldii,C0096A1,2A2,2,2,Mid Log
B3,2,A,0.161,Gardnerella leopoldii,C0096A1,2A2,2,2,Mid Log
C3,2,A,0.153,Gardnerella leopoldii,C0096A1,2A2,2,2,Mid Log
D3,2,A,0.156,Gardnerella leopoldii,C0096A1,2A2,2,2,Mid Log
E3,2,B,0.136,Gardnerella leopoldii,C0096A1,2A2,2,2,Mid Log
F3,2,B,0.138,Gardnerella leopoldii,C0096A1,2A2,2,2,Mid Log
G3,2,B,0.146,Gardnerella leopoldii,C0096A1,2A2,2,2,Mid Log
H3,2,B,0.145,Gardnerella leopoldii,C0096A1,2A2,2,2,Mid Log
A4,3,A,0.17,Gardnerella sp. 12,CMW7778B,2A2,2,2,Mid Log
B4,3,A,0.176,Gardnerella sp. 12,CMW7778B,2A2,2,2,Mid Log
C4,3,A,0.178,Gardnerella sp. 12,CMW7778B,2A2,2,2,Mid Log
D4,3,A,0.171,Gardnerella sp. 12,CMW7778B,2A2,2,2,Mid Log
E4,3,B,0.166,Gardnerella sp. 12,CMW7778B,2A2,2,2,Mid Log
F4,3,B,0.173,Gardnerella sp. 12,CMW7778B,2A2,2,2,Mid Log
G4,3,B,0.182,Gardnerella sp. 12,CMW7778B,2A2,2,2,Mid Log
H4,3,B,0.218,Gardnerella sp. 12,CMW7778B,2A2,2,2,Mid Log
D12,Blank,NA,0.05,NA,NA,NA,NA,NA,Mid Log
A7,1,A,0.269,Gardnerella sp. 10,C0100B2,1B3,1,NA,Mid Log
B7,1,A,0.258,Gardnerella sp. 10,C0100B2,1B3,1,NA,Mid Log
C7,1,A,0.251,Gardnerella sp. 10,C0100B2,1B3,1,NA,Mid Log
D7,1,A,0.244,Gardnerella sp. 10,C0100B2,1B3,1,NA,Mid Log
E7,1,B,0.273,Gardnerella sp. 10,C0100B2,1B3,1,NA,Mid Log
F7,1,B,0.258,Gardnerella sp. 10,C0100B2,1B3,1,NA,Mid Log
G7,1,B,0.243,Gardnerella sp. 10,C0100B2,1B3,1,NA,Mid Log
H7,1,B,0.249,Gardnerella sp. 10,C0100B2,1B3,1,NA,Mid Log
A8,2,A,0.255,Gardnerella sp. 7,C0179B4,1B3,1,NA,Mid Log
B8,2,A,0.253,Gardnerella sp. 7,C0179B4,1B3,1,NA,Mid Log
C8,2,A,0.254,Gardnerella sp. 7,C0179B4,1B3,1,NA,Mid Log
D8,2,A,0.257,Gardnerella sp. 7,C0179B4,1B3,1,NA,Mid Log
E8,2,B,0.274,Gardnerella sp. 7,C0179B4,1B3,1,NA,Mid Log
F8,2,B,0.296,Gardnerella sp. 7,C0179B4,1B3,1,NA,Mid Log
G8,2,B,0.264,Gardnerella sp. 7,C0179B4,1B3,1,NA,Mid Log
H8,2,B,0.276,Gardnerella sp. 7,C0179B4,1B3,1,NA,Mid Log
A9,3,A,0.098,Gardnerella sp. 2,JCP7275,1B3,1,NA,Mid Log
B9,3,A,0.101,Gardnerella sp. 2,JCP7275,1B3,1,NA,Mid Log
C9,3,A,0.095,Gardnerella sp. 2,JCP7275,1B3,1,NA,Mid Log
D9,3,A,0.097,Gardnerella sp. 2,JCP7275,1B3,1,NA,Mid Log
E9,3,B,0.095,Gardnerella sp. 2,JCP7275,1B3,1,NA,Mid Log
F9,3,B,0.099,Gardnerella sp. 2,JCP7275,1B3,1,NA,Mid Log
G9,3,B,0.098,Gardnerella sp. 2,JCP7275,1B3,1,NA,Mid Log
H9,3,B,0.1,Gardnerella sp. 2,JCP7275,1B3,1,NA,Mid Log
A10,4,A,0.336,Gardnerella swidsinskii,C0102A2,1B3,1,NA,Mid Log
B10,4,A,0.323,Gardnerella swidsinskii,C0102A2,1B3,1,NA,Mid Log
C10,4,A,0.332,Gardnerella swidsinskii,C0102A2,1B3,1,NA,Mid Log
D10,4,A,0.327,Gardnerella swidsinskii,C0102A2,1B3,1,NA,Mid Log
E10,4,B,0.344,Gardnerella swidsinskii,C0102A2,1B3,1,NA,Mid Log
F10,4,B,0.345,Gardnerella swidsinskii,C0102A2,1B3,1,NA,Mid Log
G10,4,B,0.343,Gardnerella swidsinskii,C0102A2,1B3,1,NA,Mid Log
H10,4,B,0.366,Gardnerella swidsinskii,C0102A2,1B3,1,NA,Mid Log
A7,1,A,0.154,Gardnerella sp. 10,C0100B2,1B4,1,NA,Mid Log
B7,1,A,0.145,Gardnerella sp. 10,C0100B2,1B4,1,NA,Mid Log
C7,1,A,0.146,Gardnerella sp. 10,C0100B2,1B4,1,NA,Mid Log
D7,1,A,0.142,Gardnerella sp. 10,C0100B2,1B4,1,NA,Mid Log
E7,1,B,0.16,Gardnerella sp. 10,C0100B2,1B4,1,NA,Mid Log
F7,1,B,0.164,Gardnerella sp. 10,C0100B2,1B4,1,NA,Mid Log
G7,1,B,0.167,Gardnerella sp. 10,C0100B2,1B4,1,NA,Mid Log
H7,1,B,0.183,Gardnerella sp. 10,C0100B2,1B4,1,NA,Mid Log
A8,2,A,0.223,Gardnerella sp. 7,C0179B4,1B4,1,NA,Mid Log
B8,2,A,0.211,Gardnerella sp. 7,C0179B4,1B4,1,NA,Mid Log
C8,2,A,0.219,Gardnerella sp. 7,C0179B4,1B4,1,NA,Mid Log
D8,2,A,0.225,Gardnerella sp. 7,C0179B4,1B4,1,NA,Mid Log
E8,2,B,0.225,Gardnerella sp. 7,C0179B4,1B4,1,NA,Mid Log
F8,2,B,0.21,Gardnerella sp. 7,C0179B4,1B4,1,NA,Mid Log
G8,2,B,0.234,Gardnerella sp. 7,C0179B4,1B4,1,NA,Mid Log
H8,2,B,0.241,Gardnerella sp. 7,C0179B4,1B4,1,NA,Mid Log
A9,3,A,0.125,Gardnerella sp. 2,JCP7275,1B4,1,NA,Mid Log
B9,3,A,0.134,Gardnerella sp. 2,JCP7275,1B4,1,NA,Mid Log
C9,3,A,0.135,Gardnerella sp. 2,JCP7275,1B4,1,NA,Mid Log
D9,3,A,0.134,Gardnerella sp. 2,JCP7275,1B4,1,NA,Mid Log
E9,3,B,0.136,Gardnerella sp. 2,JCP7275,1B4,1,NA,Mid Log
F9,3,B,0.14,Gardnerella sp. 2,JCP7275,1B4,1,NA,Mid Log
G9,3,B,0.14,Gardnerella sp. 2,JCP7275,1B4,1,NA,Mid Log
H9,3,B,0.143,Gardnerella sp. 2,JCP7275,1B4,1,NA,Mid Log
A10,4,A,0.152,Gardnerella sp. 2,JCP7275,1B4,1,NA,Mid Log
B10,4,A,0.162,Gardnerella sp. 2,JCP7275,1B4,1,NA,Mid Log
C10,4,A,0.167,Gardnerella sp. 2,JCP7275,1B4,1,NA,Mid Log
D10,4,A,0.163,Gardnerella sp. 2,JCP7275,1B4,1,NA,Mid Log
E10,4,B,0.157,Gardnerella sp. 2,JCP7275,1B4,1,NA,Mid Log
F10,4,B,0.159,Gardnerella sp. 2,JCP7275,1B4,1,NA,Mid Log
G10,4,B,0.169,Gardnerella sp. 2,JCP7275,1B4,1,NA,Mid Log
H10,4,B,0.175,Gardnerella sp. 2,JCP7275,1B4,1,NA,Mid Log
A12,Blank,NA,0.05,NA,NA,NA,NA,NA,Mid Log
